feature,files,healthy_files,defective_files,median_non_null_ratio,median_unique_values,global_std,healthy_file_ratio,defective_file_ratio,selected_for_anomaly
dtg,32,18,14,1.0,10643.5,35.13170436658727,0.8181818181818182,0.9333333333333333,True
ds,32,18,14,1.0,10505.0,98.83414767864647,0.8181818181818182,0.9333333333333333,True
ttg,32,18,14,1.0,9452.5,19.047982212500408,0.8181818181818182,0.9333333333333333,True
phj,32,18,14,1.0,8863.5,67.06745786319806,0.8181818181818182,0.9333333333333333,True
zhx,32,18,14,1.0,7630.5,98.35140992623246,0.8181818181818182,0.9333333333333333,True
mh,32,18,14,1.0,7599.5,99.91424257486293,0.8181818181818182,0.9333333333333333,True
dh,32,18,14,1.0,7082.5,99.01048804042874,0.8181818181818182,0.9333333333333333,True
fx,32,18,14,1.0,5514.5,58.52243976164868,0.8181818181818182,0.9333333333333333,True
wd,32,18,14,1.0,4804.5,2.0846119072131004,0.8181818181818182,0.9333333333333333,True
ctd,32,18,14,1.0,4650.0,3.6154191360649977,0.8181818181818182,0.9333333333333333,True
yfhx,32,18,14,1.0,4637.0,86.96233160148594,0.8181818181818182,0.9333333333333333,True
jd,32,18,14,1.0,3688.5,1.799523642234889,0.8181818181818182,0.9333333333333333,True
hp,32,18,14,1.0,3297.5,8534.283508636796,0.8181818181818182,0.9333333333333333,True
hc,32,18,14,1.0,3292.5,8523.264820713383,0.8181818181818182,0.9333333333333333,True
gcj,32,18,14,1.0,2404.5,3.029799027840328,0.8181818181818182,0.9333333333333333,True
dp,32,18,14,1.0,2225.5,2.72317693200761,0.8181818181818182,0.9333333333333333,True
zjsl,32,18,14,1.0,2219.0,0.6187890467015007,0.8181818181818182,0.9333333333333333,True
xjsl,32,18,14,1.0,1952.5,0.43448760270956466,0.8181818181818182,0.9333333333333333,True
2yz,32,18,14,1.0,1793.0,805.4841073756199,0.8181818181818182,0.9333333333333333,True
yz,32,18,14,1.0,1793.0,805.4822147880705,0.8181818181818182,0.9333333333333333,True
yjsl,32,18,14,1.0,1295.5,0.21440055641526706,0.8181818181818182,0.9333333333333333,True
ias,32,18,14,1.0,1040.0,69.6416017396113,0.8181818181818182,0.9333333333333333,True
tas,32,18,14,1.0,1036.5,99.79442045389263,0.8181818181818182,0.9333333333333333,True
fs,32,18,14,1.0,956.0,9.112352634601127,0.8181818181818182,0.9333333333333333,True
rh,32,18,14,1.0,659.0,2007.2531543191144,0.8181818181818182,0.9333333333333333,True
2fn3,32,18,14,1.0,651.0,226.01891970200256,0.8181818181818182,0.9333333333333333,True
fn2,32,18,14,1.0,651.0,236.51170675970906,0.8181818181818182,0.9333333333333333,True
fn3,32,18,14,1.0,646.5,225.9385163904554,0.8181818181818182,0.9333333333333333,True
2fn2,32,18,14,1.0,643.5,236.57265818804547,0.8181818181818182,0.9333333333333333,True
fn4,32,18,14,1.0,643.5,230.95134258851087,0.8181818181818182,0.9333333333333333,True
2fn4,32,18,14,1.0,641.0,230.96851780253803,0.8181818181818182,0.9333333333333333,True
2fn1,32,18,14,1.0,628.0,221.38415654075789,0.8181818181818182,0.9333333333333333,True
fn1,32,18,14,1.0,627.0,221.60494008141123,0.8181818181818182,0.9333333333333333,True
locaz,32,18,14,1.0,487.0,0.09210224688988872,0.8181818181818182,0.9333333333333333,True
gsel,32,18,14,1.0,455.5,0.09198911539684695,0.8181818181818182,0.9333333333333333,True
sat,32,18,14,1.0,439.0,32.15541986189337,0.8181818181818182,0.9333333333333333,True
jdl,32,18,14,1.0,424.0,11.889964369338777,0.8181818181818182,0.9333333333333333,True
2fpw3,32,18,14,1.0,399.0,152.40137914123693,0.8181818181818182,0.9333333333333333,True
fpw3,32,18,14,1.0,397.0,153.0855442404224,0.8181818181818182,0.9333333333333333,True
2fpw2,32,18,14,1.0,383.0,150.61269603135366,0.8181818181818182,0.9333333333333333,True
fpw1,32,18,14,1.0,382.0,141.12617096758333,0.8181818181818182,0.9333333333333333,True
fpw2,32,18,14,1.0,379.5,151.1054036343242,0.8181818181818182,0.9333333333333333,True
2fpw1,32,18,14,1.0,378.5,140.42035234674313,0.8181818181818182,0.9333333333333333,True
tat,32,18,14,1.0,374.5,26.056680887167506,0.8181818181818182,0.9333333333333333,True
2fpw4,32,18,14,1.0,364.5,145.91357042725957,0.8181818181818182,0.9333333333333333,True
fpw4,32,18,14,1.0,363.0,146.4593721928347,0.8181818181818182,0.9333333333333333,True
fyj2,32,18,14,1.0,349.0,26.636367752110612,0.8181818181818182,0.9333333333333333,True
aoat,32,18,14,1.0,344.0,1.3903144449509357,0.8181818181818182,0.9333333333333333,True
2fyj2,32,18,14,1.0,339.5,26.631498557371998,0.8181818181818182,0.9333333333333333,True
2fyj3,32,18,14,1.0,330.0,26.74565223753529,0.8181818181818182,0.9333333333333333,True
fyj3,32,18,14,1.0,320.0,26.75328794607801,0.8181818181818182,0.9333333333333333,True
2fyj1,32,18,14,1.0,312.5,26.046786274336085,0.8181818181818182,0.9333333333333333,True
fyj1,32,18,14,1.0,312.0,26.054035599499127,0.8181818181818182,0.9333333333333333,True
m,32,18,14,1.0,310.5,0.1584913266999995,0.8181818181818182,0.9333333333333333,True
ljp,32,18,14,1.0,307.0,2.541248579562337,0.8181818181818182,0.9333333333333333,True
2fyj4,32,18,14,1.0,304.0,26.290497526583103,0.8181818181818182,0.9333333333333333,True
fyj4,32,18,14,1.0,299.0,26.297048265146252,0.8181818181818182,0.9333333333333333,True
jdw,32,18,14,1.0,299.0,0.2605276002781185,0.8181818181818182,0.9333333333333333,True
2rhsy,32,18,14,1.0,287.5,578.2393714348611,0.8181818181818182,0.9333333333333333,True
rhsy,32,18,14,1.0,286.0,578.6432113657393,0.8181818181818182,0.9333333333333333,True
rqsy,32,18,14,1.0,284.5,598.2444929726149,0.8181818181818182,0.9333333333333333,True
2rqsy,32,18,14,1.0,282.0,598.1835115312069,0.8181818181818182,0.9333333333333333,True
2lqsy,32,18,14,1.0,277.5,597.7366215205905,0.8181818181818182,0.9333333333333333,True
ljpw,32,18,14,1.0,276.5,4.026359249672538,0.8181818181818182,0.9333333333333333,True
rjpw,32,18,14,1.0,274.5,3.9281032390198307,0.8181818181818182,0.9333333333333333,True
lhsy,32,18,14,1.0,273.5,597.2549484629228,0.8181818181818182,0.9333333333333333,True
lqsy,32,18,14,1.0,272.5,597.8096511639211,0.8181818181818182,0.9333333333333333,True
2lhsy,32,18,14,1.0,267.0,597.1599400293867,0.8181818181818182,0.9333333333333333,True
ljg,32,18,14,1.0,259.0,4.641667912363365,0.8181818181818182,0.9333333333333333,True
nx,32,18,14,1.0,258.5,1.3772880817693667,0.8181818181818182,0.9333333333333333,True
2zg,32,18,14,1.0,251.0,2673.6837350795686,0.8181818181818182,0.9333333333333333,True
zg,32,18,14,1.0,250.5,2673.653208733679,0.8181818181818182,0.9333333333333333,True
2fhw3,32,18,14,1.0,227.0,13.02129266463691,0.8181818181818182,0.9333333333333333,True
2fhw4,32,18,14,1.0,227.0,11.404263132885317,0.8181818181818182,0.9333333333333333,True
fhw3,32,18,14,1.0,224.5,13.024842173668091,0.8181818181818182,0.9333333333333333,True
2fhw2,32,18,14,1.0,221.5,13.728782815230227,0.8181818181818182,0.9333333333333333,True
fhw4,32,18,14,1.0,221.0,11.41940243993431,0.8181818181818182,0.9333333333333333,True
fhw2,32,18,14,1.0,219.0,13.740411308313202,0.8181818181818182,0.9333333333333333,True
2lysy,32,18,14,1.0,212.0,190.83669836598307,0.8181818181818182,0.9333333333333333,True
lysy,32,18,14,1.0,212.0,191.13765612551705,0.8181818181818182,0.9333333333333333,True
fhw1,32,18,14,1.0,203.5,9.045954223706627,0.8181818181818182,0.9333333333333333,True
2fhw1,32,18,14,1.0,201.0,9.03002413980806,0.8181818181818182,0.9333333333333333,True
hpr,32,18,14,1.0,198.0,8.784038889998701,0.8181818181818182,0.9333333333333333,True
2fzs2,32,18,14,1.0,190.5,15.525547629453511,0.8181818181818182,0.9333333333333333,True
2fzs3,32,18,14,1.0,185.5,14.488962951837816,0.8181818181818182,0.9333333333333333,True
fzs2,32,18,14,1.0,184.5,15.531569459364587,0.8181818181818182,0.9333333333333333,True
fzs3,32,18,14,1.0,184.5,14.491782875609417,0.8181818181818182,0.9333333333333333,True
2fzs1,32,18,14,1.0,163.0,11.811641419723982,0.8181818181818182,0.9333333333333333,True
fzs1,32,18,14,1.0,163.0,11.82190769332571,0.8181818181818182,0.9333333333333333,True
stw,32,18,14,1.0,162.0,0.5745578400558141,0.8181818181818182,0.9333333333333333,True
fzs4,32,18,14,1.0,156.0,13.38673600196135,0.8181818181818182,0.9333333333333333,True
rysy,32,18,14,1.0,155.5,263.39214318415316,0.8181818181818182,0.9333333333333333,True
2fzs4,32,18,14,1.0,153.5,13.384285284489842,0.8181818181818182,0.9333333333333333,True
2rysy,32,18,14,1.0,153.5,262.94614685745853,0.8181818181818182,0.9333333333333333,True
nz,32,18,14,1.0,136.0,0.6203496119256666,0.8181818181818182,0.9333333333333333,True
2fhsw3,32,18,14,1.0,133.5,4.540142310054423,0.8181818181818182,0.9333333333333333,True
fhsw3,32,18,14,1.0,131.5,4.539290064534407,0.8181818181818182,0.9333333333333333,True
2fhsw2,32,18,14,1.0,126.5,4.314717291224886,0.8181818181818182,0.9333333333333333,True
fhsw2,32,18,14,1.0,123.5,4.3108215855397845,0.8181818181818182,0.9333333333333333,True
2fhsw1,32,18,14,1.0,119.5,4.473688755041369,0.8181818181818182,0.9333333333333333,True
fhsw1,32,18,14,1.0,119.0,4.473694879470635,0.8181818181818182,0.9333333333333333,True
fhsw4,32,18,14,1.0,118.0,4.129716271616289,0.8181818181818182,0.9333333333333333,True
2fhsw4,32,18,14,1.0,114.5,4.1340554776164815,0.8181818181818182,0.9333333333333333,True
fysy,32,18,14,1.0,103.5,309.4283360144011,0.8181818181818182,0.9333333333333333,True
2fysy,32,18,14,1.0,102.0,308.99161201595945,0.8181818181818182,0.9333333333333333,True
fzg2,32,18,14,1.0,88.0,6.7598991512399005,0.8181818181818182,0.9333333333333333,True
2fzg2,32,18,14,1.0,86.5,6.7580904638116,0.8181818181818182,0.9333333333333333,True
ftpj,32,18,14,1.0,81.0,1.2413632218576969,0.8181818181818182,0.9333333333333333,True
2fsh3,32,18,14,1.0,80.0,42.028401256269504,0.8181818181818182,0.9333333333333333,True
2ftpj,32,18,14,1.0,80.0,1.2419733399643276,0.8181818181818182,0.9333333333333333,True
fsh3,32,18,14,1.0,80.0,42.03522945002509,0.8181818181818182,0.9333333333333333,True
2fsh2,32,18,14,1.0,78.0,43.90154539282233,0.8181818181818182,0.9333333333333333,True
fsh2,32,18,14,1.0,78.0,43.90075662362342,0.8181818181818182,0.9333333333333333,True
2fsh4,32,18,14,1.0,76.5,40.2846849329175,0.8181818181818182,0.9333333333333333,True
fsh4,32,18,14,1.0,76.5,40.28732184562617,0.8181818181818182,0.9333333333333333,True
2fsh1,32,18,14,1.0,75.0,39.99968173715447,0.8181818181818182,0.9333333333333333,True
fsh1,32,18,14,1.0,75.0,40.00928900053715,0.8181818181818182,0.9333333333333333,True
2fzg4,32,18,14,1.0,70.0,5.077571118180754,0.8181818181818182,0.9333333333333333,True
fzg4,32,18,14,1.0,69.5,5.069439015358788,0.8181818181818182,0.9333333333333333,True
2fzg1,32,18,14,1.0,65.5,5.7438599256343075,0.8181818181818182,0.9333333333333333,True
ny,32,18,14,1.0,64.5,0.9046081379589581,0.8181818181818182,0.9333333333333333,True
fzg1,32,18,14,1.0,64.0,5.735696572387832,0.8181818181818182,0.9333333333333333,True
yjwx,32,18,14,1.0,59.5,6.015928017530586,0.8181818181818182,0.9333333333333333,True
zjwx,32,18,14,1.0,59.0,6.016560119382467,0.8181818181818182,0.9333333333333333,True
2yjwx,32,18,14,1.0,58.5,6.016051326746354,0.8181818181818182,0.9333333333333333,True
2zjwx,32,18,14,1.0,58.0,6.016427480865524,0.8181818181818182,0.9333333333333333,True
2jhda,32,18,14,1.0,57.0,11.184982488253741,0.8181818181818182,0.9333333333333333,True
jhda,32,18,14,1.0,56.5,11.157689579206394,0.8181818181818182,0.9333333333333333,True
jhdb,32,18,14,1.0,54.5,11.18222405285432,0.8181818181818182,0.9333333333333333,True
jhdc,32,18,14,1.0,54.0,11.167184933770633,0.8181818181818182,0.9333333333333333,True
2jhdb,32,18,14,1.0,53.0,11.209560573960648,0.8181818181818182,0.9333333333333333,True
2jhdc,32,18,14,1.0,52.5,11.194670028059726,0.8181818181818182,0.9333333333333333,True
2zpld,32,18,14,1.0,44.0,1.9899151800670727,0.8181818181818182,0.9333333333333333,True
2zpxd,32,18,14,1.0,43.5,0.39387440607136653,0.8181818181818182,0.9333333333333333,True
2zprd,32,18,14,1.0,43.0,0.37954219469964484,0.8181818181818182,0.9333333333333333,True
zpxd,32,18,14,1.0,43.0,0.39354581168494984,0.8181818181818182,0.9333333333333333,True
2ffy4,32,18,14,1.0,42.5,10.822290805266949,0.8181818181818182,0.9333333333333333,True
ffy3,32,18,14,1.0,42.5,11.50399839019197,0.8181818181818182,0.9333333333333333,True
zprd,32,18,14,1.0,42.5,0.37922798054493156,0.8181818181818182,0.9333333333333333,True
2ffy2,32,18,14,1.0,42.0,12.839541024950476,0.8181818181818182,0.9333333333333333,True
2ffy3,32,18,14,1.0,42.0,11.510492372325693,0.8181818181818182,0.9333333333333333,True
ffy2,32,18,14,1.0,42.0,12.831611194314036,0.8181818181818182,0.9333333333333333,True
zpld,32,18,14,1.0,42.0,1.9806196647519738,0.8181818181818182,0.9333333333333333,True
ffy4,32,18,14,1.0,41.5,10.814530878971068,0.8181818181818182,0.9333333333333333,True
2ffy1,32,18,14,1.0,40.0,9.200269423655834,0.8181818181818182,0.9333333333333333,True
ffy1,32,18,14,1.0,38.0,9.189077569519828,0.8181818181818182,0.9333333333333333,True
2ryy,32,18,14,1.0,32.0,0.1372997779671855,0.8181818181818182,0.9333333333333333,True
ryy,32,18,14,1.0,32.0,0.13797498628741084,0.8181818181818182,0.9333333333333333,True
fzg3,32,18,14,1.0,30.5,1.6669537793031663,0.8181818181818182,0.9333333333333333,True
2fzg3,32,18,14,1.0,30.0,1.6714808601360378,0.8181818181818182,0.9333333333333333,True
2lyy,32,18,14,1.0,25.0,0.07192931647435728,0.8181818181818182,0.9333333333333333,True
lyy,32,18,14,1.0,24.0,0.07122402435360944,0.8181818181818182,0.9333333333333333,True
2fry2,32,18,14,1.0,19.5,3.349632174102746,0.8181818181818182,0.9333333333333333,True
fry2,32,18,14,1.0,19.5,3.3425275504579703,0.8181818181818182,0.9333333333333333,True
2fry3,32,18,14,1.0,18.5,2.2760073906384735,0.8181818181818182,0.9333333333333333,True
fry3,32,18,14,1.0,18.0,2.2736817757659673,0.8181818181818182,0.9333333333333333,True
fry4,32,18,14,1.0,18.0,2.0487129371433292,0.8181818181818182,0.9333333333333333,True
2fry1,32,18,14,1.0,17.0,1.565253526296482,0.8181818181818182,0.9333333333333333,True
2fry4,32,18,14,1.0,17.0,2.042736453951848,0.8181818181818182,0.9333333333333333,True
fry1,32,18,14,1.0,17.0,1.559497474646951,0.8181818181818182,0.9333333333333333,True
ilsvor,32,18,14,1.0,8.0,1.8558418575497324,0.8181818181818182,0.9333333333333333,True
rjg,32,18,14,1.0,5.5,0.15148623832650543,0.8181818181818182,0.9333333333333333,True
rjp,32,18,14,1.0,5.0,0.07528249744993934,0.8181818181818182,0.9333333333333333,True
fpx,32,18,14,1.0,3.0,3.4544586583407293,0.8181818181818182,0.9333333333333333,True
gtxb,30,18,12,1.0,1888.0,76.88317474757913,0.8181818181818182,0.8,True
ljgw,30,16,14,1.0,494.0,1.211200971977269,0.7272727272727273,0.9333333333333333,True
rjgw,30,18,12,1.0,478.0,1.0893009772634958,0.8181818181818182,0.8,True
xdl,30,16,14,1.0,45.0,256.4433608260761,0.7272727272727273,0.9333333333333333,True
2fpx,30,16,14,1.0,3.0,3.4378537459282956,0.7272727272727273,0.9333333333333333,True
2fyy,28,16,12,1.0,29.5,0.12148821017208992,0.7272727272727273,0.8,True
fyy,28,16,12,1.0,29.5,0.12093239330059781,0.7272727272727273,0.8,True
2lftj,28,14,14,1.0,2.0,0.04389372981192858,0.6363636363636364,0.9333333333333333,False
lftj,28,14,14,1.0,2.0,0.03693208993217384,0.6363636363636364,0.9333333333333333,False
1_2,16,16,0,1.0,3102.0,5.711469058994773,0.7272727272727273,0.0,False
gama,16,2,14,1.0,2388.5,4.410366656544609,0.09090909090909091,0.9333333333333333,False
1,16,16,0,1.0,2033.5,2.2150697633373175,0.7272727272727273,0.0,False
theta,16,2,14,1.0,1897.0,2.3118786938740317,0.09090909090909091,0.9333333333333333,False
y,16,16,0,1.0,863.5,3.9119184590835436,0.7272727272727273,0.0,False
sigmay,16,2,14,1.0,715.0,4.152166350949778,0.09090909090909091,0.9333333333333333,False
xr,16,16,0,1.0,548.0,3.1612232087735133,0.7272727272727273,0.0,False
xl,16,16,0,1.0,534.5,3.0147072058631776,0.7272727272727273,0.0,False
sigmaxr,16,2,14,1.0,485.5,4.0178266152352675,0.09090909090909091,0.9333333333333333,False
sigmaxl,16,2,14,1.0,470.5,4.023209452381938,0.09090909090909091,0.9333333333333333,False
zl,16,16,0,1.0,343.5,1.7831926944344854,0.7272727272727273,0.0,False
sigmazr,16,2,14,1.0,286.0,1.1995101410302587,0.09090909090909091,0.9333333333333333,False
zr,16,16,0,1.0,284.5,1.3143003994770135,0.7272727272727273,0.0,False
sigmazl,16,2,14,1.0,283.0,1.492821442615039,0.09090909090909091,0.9333333333333333,False
2rftj,16,6,10,1.0,2.0,0.026450384027376664,0.2727272727272727,0.6666666666666666,False
rftj,14,6,8,1.0,2.0,0.031051809932651938,0.2727272727272727,0.5333333333333333,False
2qf24,12,2,10,1.0,40.0,4.971407569478587,0.09090909090909091,0.6666666666666666,False
qf24,12,2,10,1.0,37.5,4.977048598784894,0.09090909090909091,0.6666666666666666,False
ns2,8,0,8,1.0,2.0,0.10319825330313154,0.0,0.5333333333333333,False
pws,8,6,2,1.0,2.0,0.01597511726029051,0.2727272727272727,0.13333333333333333,False
0,4,4,0,1.0,1851.5,4689.27531397943,0.18181818181818182,0.0,False
01,4,4,0,1.0,299.0,0.16864611201877128,0.18181818181818182,0.0,False
05,2,2,0,1.0,13171.0,102.53095958970164,0.09090909090909091,0.0,False
07,2,2,0,1.0,3016.5,5.169363712989053,0.09090909090909091,0.0,False
gxqygd,2,2,0,1.0,2146.0,7982.336956724768,0.09090909090909091,0.0,False
06,2,2,0,1.0,2092.5,2.1694835787470534,0.09090909090909091,0.0,False
04,2,2,0,1.0,643.5,230.53929729025765,0.09090909090909091,0.0,False
32,2,2,0,1.0,417.0,32.5771097197416,0.09090909090909091,0.0,False
02,2,2,0,1.0,397.5,1.7080610111836507,0.09090909090909091,0.0,False
212,2,2,0,1.0,377.0,139.05655341157677,0.09090909090909091,0.0,False
03,2,2,0,1.0,317.5,28.264550955770126,0.09090909090909091,0.0,False
10,2,2,0,1.0,178.5,15.973157353889405,0.09090909090909091,0.0,False
55,2,2,0,1.0,79.5,41.70909250330449,0.09090909090909091,0.0,False
fxdl,2,2,0,1.0,34.0,11.058635858440864,0.09090909090909091,0.0,False
sdl,2,2,0,1.0,31.0,11.092602468388769,0.09090909090909091,0.0,False
w,2,2,0,1.0,2.0,0.467062340063163,0.09090909090909091,0.0,False
0015,1,1,0,1.0,14473.0,90.25168320317685,0.045454545454545456,0.0,False
3937,1,1,0,1.0,3244.0,9775.598812451073,0.045454545454545456,0.0,False
21326,1,1,0,1.0,3186.0,8521.428029142455,0.045454545454545456,0.0,False
0324,1,1,0,1.0,3176.0,5.359209153360641,0.045454545454545456,0.0,False
1472,1,1,0,1.0,2030.0,2.0536788908575025,0.045454545454545456,0.0,False
55471,1,1,0,1.0,644.0,188.13514154484633,0.045454545454545456,0.0,False
100625,1,1,0,1.0,433.0,29.96842672572939,0.045454545454545456,0.0,False
5493,1,1,0,1.0,357.0,1.2372186535181116,0.045454545454545456,0.0,False
59738,1,1,0,1.0,345.0,144.28293165856934,0.045454545454545456,0.0,False
89375,1,1,0,1.0,338.0,26.859942566460155,0.045454545454545456,0.0,False
5837,1,1,0,1.0,335.0,109.89550889150301,0.045454545454545456,0.0,False
807,1,1,0,1.0,130.0,7.443349435689162,0.045454545454545456,0.0,False
102,1,1,0,1.0,73.0,31.55647153535046,0.045454545454545456,0.0,False
